TIPO;DATA_CONSULTA;ORIGEM;DESTINO;DATA_IDA;DATA_VOLTA;AGENCIA;COMPANHIA_IDA;DIRETO;UMA_PARADA;DUAS_OU_MAIS_PARADAS;AEROPORTO_EMBARQUE_IDA;HORA_EMBARQUE_IDA;AEROPORTO_DESEMBARQUE_IDA;HORA_DESEMBARQUE_IDA;DIAS_VIAGEM_IDA;DURACAO_VIAGEM_IDA;TIPO_VIAGEM_IDA;MOCHILA_IDA;BAGAGEM_MAO_IDA;MALA_IDA;COMPANHIA_VOLTA;AEROPORTO_EMBARQUE_VOLTA;HORA_EMBARQUE_VOLTA;AEROPORTO_DESEMBARQUE_VOLTA;HORA_DESEMBARQUE_VOLTA;DIAS_VIAGEM_VOLTA;DURACAO_VIAGEM_VOLTA;TIPO_VIAGEM_VOLTA;MOCHILA_VOLTA;BAGAGEM_MAO_VOLTA;MALA_VOLTA;PRECO_TOTAL
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;Iberia; ;3.297; ;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;Azul;6.008;7.839;25.244;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;British Airways; ;3.297; ;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;Air France; ;3.813;3.824;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;KLM; ;3.814;3.824;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;Gol; ;5.514;3.824;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;Lufthansa; ;4.833;16.946;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;LATAM; ;4.981;4.991;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;Air Canada; ; ;5.730;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;Tap Air Portugal;6.623;6.641;23.046;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;United Airlines; ; ;9.420;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;American Airlines; ; ;10.212;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;Swiss; ;16.839;16.946;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;Kenya Airways; ;21.605; ;;;;;;;;;;;;;;;;;;;;;;
RESUMO;12/11/2020;SAO;LIS;13/11/2020; ;DECOLAR;Delta Air Lines; ; ;23.774;;;;;;;;;;;;;;;;;;;;;;
ANALYTICS;12/11/2020;SAO;LIS;13/11/2020;08/12/2020;DECOLAR;Iberia; ; ; ;GRU;15:40;LIS;7:50;1;13h 10m;1 parada;1;1;0;British Airways;LIS;7:05;GRU;6:05;1;26h;1 parada;1;1;0;3.297
ANALYTICS;12/11/2020;SAO;LIS;13/11/2020;08/12/2020;DECOLAR;Air France; ; ; ;GRU;16:35;LIS;11:25;1;15h 50m;1 parada;1;1;0;Air France;LIS;16:00;GRU;7:20;1;18h 20m;1 parada;1;1;0;3.813
ANALYTICS;12/11/2020;SAO;LIS;13/11/2020;08/12/2020;DECOLAR;Azul; ; ; ;VCP;19:00;LIS;7:45;1;9h 45m;Direto;1;1;1; ;6.008;;;;;;;;;;
ANALYTICS;12/11/2020;SAO;LIS;13/11/2020;08/12/2020;DECOLAR;KLM; ; ; ;GRU;20:00;LIS;14:35;1;15h 35m;1 parada;1;1;0;Air France;LIS;16:00;GRU;7:20;1;18h 20m;1 parada;1;1;0;3.814
ANALYTICS;12/11/2020;SAO;LIS;13/11/2020;08/12/2020;DECOLAR;Air France; ; ; ;GRU;16:35;LIS;11:25;1;15h 50m;1 parada;1;1;0; ;3.824;;;;;;;;;;
ANALYTICS;12/11/2020;SAO;LIS;13/11/2020;08/12/2020;DECOLAR;KLM; ; ; ;GRU;20:00;LIS;14:35;1;15h 35m;1 parada;1;1;0; ;3.825;;;;;;;;;;
ANALYTICS;12/11/2020;SAO;LIS;13/11/2020;08/12/2020;DECOLAR;KLM; ; ; ;GRU;20:00;LIS;14:35;1;15h 35m;1 parada;1;1;1;Air France;LIS;16:00;GRU;7:20;1;18h 20m;1 parada;1;1;1;4.344
ANALYTICS;12/11/2020;SAO;LIS;13/11/2020;08/12/2020;DECOLAR;Air France; ; ; ;GRU;16:35;LIS;11:25;1;15h 50m;1 parada;1;1;1;Air France;LIS;16:00;GRU;7:20;1;18h 20m;1 parada;1;1;1;4.344
ANALYTICS;12/11/2020;SAO;LIS;13/11/2020;08/12/2020;DECOLAR;KLM; ; ; ;GRU;20:00;LIS;14:35;1;15h 35m;1 parada;1;1;1; ;4.355;;;;;;;;;;
